token,value
font/sans,"Public Sans, -apple-system, BlinkMacSystemFont, Segoe UI, sans-serif"
font/display,"Manrope, Public Sans, sans-serif"
font/mono,"IBM Plex Mono, ui-monospace, SF Mono, monospace"
type/display-xl/font-size,48px
type/display-xl/font-weight,800
type/display-xl/line-height,1.1
type/display-xl/letter-spacing,-0.96px
type/display-l/font-size,36px
type/display-l/font-weight,700
type/display-l/line-height,1.15
type/display-l/letter-spacing,-0.36px
type/heading-1/font-size,28px
type/heading-1/font-weight,700
type/heading-1/line-height,1.2
type/heading-1/letter-spacing,-0.28px
type/heading-2/font-size,22px
type/heading-2/font-weight,600
type/heading-2/line-height,1.25
type/heading-2/letter-spacing,0px
type/heading-3/font-size,18px
type/heading-3/font-weight,600
type/heading-3/line-height,1.3
type/heading-3/letter-spacing,0px
type/body-l/font-size,16px
type/body-l/font-weight,400
type/body-l/line-height,1.5
type/body-l/letter-spacing,0px
type/body-m/font-size,14px
type/body-m/font-weight,400
type/body-m/line-height,1.5
type/body-m/letter-spacing,0px
type/label-m/font-size,13px
type/label-m/font-weight,600
type/label-m/line-height,1.3
type/label-m/letter-spacing,0.26px
type/caption/font-size,12px
type/caption/font-weight,400
type/caption/line-height,1.4
type/caption/letter-spacing,0px
type/code-m/font-size,14px
type/code-m/font-weight,400
type/code-m/line-height,1.5
type/code-m/letter-spacing,0px
type/code-s/font-size,12px
type/code-s/font-weight,400
type/code-s/line-height,1.4
type/code-s/letter-spacing,0px
