name,value,type,category,description
brand/accent,#0E7C7F,color,brand,Primary brand accent / CTA (clinical teal)
brand/canvas,#F7F9FC,color,brand,Primary page canvas (mist)
brand/ink,#14305C,color,brand,Primary text and anchor ink (navy)
surface/canvas,#F7F9FC,color,surface,Lightest surface / page background (mist)
surface/raised,#FFFFFF,color,surface,Soft elevated surface (cards, paper)
surface/float,#FFFFFF,color,surface,Floating surface (elevated cards, dropdowns)
surface/overlay,#FFFFFF,color,surface,Overlay surface (modals)
surface/panel,#05101C,color,surface,Dark panel fill / hero band
text/primary,#14305C,color,text,Primary text color
text/secondary,#5C6472,color,text,Secondary text color
text/muted,#7C8494,color,text,Muted meta / caption text
border/subtle,#EDEFF2,color,border,Default hairline border
border/default,#D3D7DE,color,border,Standard card / input border
border/strong,#B6BCC6,color,border,Emphasis border
semantic/success,#1F8A4C,color,semantic,Success state text / icon
semantic/success-surface,#E4F6EA,color,semantic,Success state background
semantic/success-text,#155C33,color,semantic,Success state text on surface
semantic/warning,#B4740F,color,semantic,Warning state text / icon
semantic/warning-surface,#FDF1DD,color,semantic,Warning state background
semantic/warning-text,#7A4E0A,color,semantic,Warning state text on surface
semantic/error,#C4293B,color,semantic,Error state text / icon
semantic/error-surface,#FBE4E7,color,semantic,Error state background
semantic/error-text,#8C1B28,color,semantic,Error state text on surface
semantic/info,#2A5FBF,color,semantic,Info state text / icon
semantic/info-surface,#E4EBFA,color,semantic,Info state background
semantic/info-text,#1D3F80,color,semantic,Info state text on surface
accent/azure,#2E7DD1,color,legacy,Legacy flyer accent — decorative tint only, never a CTA
ink/50,#E7EBF2,color,brand,Ink scale step 50 — faint tint background
ink/100,#CFD9E8,color,brand,Ink scale step 100 — decorative tint
ink/200,#A9BAD6,color,brand,Ink scale step 200 — borders on navy-adjacent components
ink/300,#7C93BB,color,brand,Ink scale step 300 — muted icons on light surfaces
ink/400,#5773A0,color,brand,Ink scale step 400 — secondary text on light surfaces
ink/500,#14305C,color,brand,Ink scale step 500 — brand anchor
ink/600,#102647,color,brand,Ink scale step 600 — hover state for navy chrome
ink/700,#0C1D37,color,brand,Ink scale step 700 — active/pressed navy chrome
ink/800,#08142A,color,brand,Ink scale step 800 — deep panel fill
ink/900,#05101C,color,brand,Ink scale step 900 — dark-mode canvas / darkest panel
ink/950,#020810,color,brand,Ink scale step 950 — maximum contrast text on teal
teal/50,#EAF6F6,color,accent,Teal scale step 50 — tint background
teal/100,#D3EDEC,color,accent,Teal scale step 100 — decorative tint
teal/200,#ABDCDB,color,accent,Teal scale step 200 — disabled CTA background
teal/300,#7CC7C6,color,accent,Teal scale step 300 — icon accents
teal/400,#4FB0AE,color,accent,Teal scale step 400 — link / active accent
teal/500,#0E7C7F,color,accent,Teal scale step 500 — primary CTA
teal/600,#0C6668,color,accent,Teal scale step 600 — CTA hover
teal/700,#0A5456,color,accent,Teal scale step 700 — CTA active/pressed
teal/800,#084244,color,accent,Teal scale step 800 — dark-mode CTA adjustment
teal/900,#063134,color,accent,Teal scale step 900 — rarely used
teal/950,#052526,color,accent,Teal scale step 950 — rarely used
slate/50,#F9FAFB,color,surface,Slate scale step 50 — near-white surface
slate/100,#EDEFF2,color,surface,Slate scale step 100 — table row alternation
slate/200,#D3D7DE,color,surface,Slate scale step 200 — default borders
slate/300,#B6BCC6,color,surface,Slate scale step 300 — strong borders, dividers
slate/400,#9DA4B0,color,surface,Slate scale step 400 — placeholder text
slate/500,#7C8494,color,surface,Slate scale step 500 — muted text, disabled labels
slate/600,#6B7383,color,surface,Slate scale step 600 — secondary text
slate/700,#5C6472,color,surface,Slate scale step 700 — body text (reduced emphasis)
slate/800,#4E5562,color,surface,Slate scale step 800 — dark-mode secondary text
slate/900,#414753,color,surface,Slate scale step 900 — dark-mode surface-1
slate/950,#363B44,color,surface,Slate scale step 950 — dark-mode surface-2
dark/canvas,#05101C,color,surface,Dark-mode page canvas — Internal Workspace only
dark/surface-1,#0C1D37,color,surface,Dark-mode card / sidebar surface
dark/surface-2,#102647,color,surface,Dark-mode elevated surface / dropdown
dark/border-subtle,#1E2833,color,border,Dark-mode subtle border
dark/border-strong,#3C454E,color,border,Dark-mode strong border
dark/text-primary,#F7F9FC,color,text,Dark-mode primary text
dark/text-secondary,#B6BCC6,color,text,Dark-mode secondary text
dark/text-tertiary,#7C8494,color,text,Dark-mode tertiary text
